id	author_id	instance_id	centralLatitude	centralLongitude	areaCoordinates	DATE_FORMAT(createdAt,'_%Y_%m_%d_%H_%i_%s')	address
113	140	caetani	41.932721765727	12.456521987915	41.932721765727,12.456521987915	_2017_04_10_05_47_17	{"streetNumber":null,"streetName":"Piazza del Foro Italico","postalCode":"00135","locality":"Roma","subLocality":null,"country":"IT"}
114	136	caetani	41.947553664658	16.030511856079		_2017_04_10_07_42_37	{"streetNumber":null,"streetName":"Contrada Valle Scinni","postalCode":"71010","locality":null,"subLocality":null,"country":"IT"}
116	145	caetani	41.930384600000	12.490912400000		_2017_04_10_08_01_04	{"streetNumber":"6","streetName":"Piazza delle Muse","postalCode":"00197","locality":"Roma","subLocality":null,"country":"IT"}
117	141	caetani	41.903063200000	12.466276000000		_2017_04_10_08_04_41	{"streetNumber":null,"streetName":"Parco Adriano","postalCode":"00193","locality":"Roma","subLocality":null,"country":"IT"}
119	158	caetani	41.891900000000	12.511300000000		_2017_04_10_10_31_00	{"streetNumber":"14","streetName":"Via di Porta Maggiore","postalCode":"00185","locality":"Roma","subLocality":null,"country":"IT"}
120	159	NULL	42.334428367674	12.553331271966		_2017_04_10_10_32_32	{"streetNumber":"30","streetName":"Corso Umberto","postalCode":"02042","locality":"Collevecchio","subLocality":null,"country":"IT"}
121	131	caetani	50.814917465810	-0.137157440186		_2017_04_10_10_34_37	{"streetNumber":null,"streetName":"Unnamed Road","postalCode":"BN2 1TW","locality":null,"subLocality":null,"country":"GB"}
122	163	caetani	41.701346800000	13.684757400000		_2017_04_10_18_03_58	{"streetNumber":"96","streetName":"Via Rivolta","postalCode":"03030","locality":null,"subLocality":null,"country":"IT"}
123	127	caetani	42.130680070897	12.383879721165		_2017_04_10_19_50_23	{"streetNumber":"180","streetName":"Strada Provinciale 10a","postalCode":"00063","locality":"Campagnano di Roma","subLocality":null,"country":"IT"}
124	132	caetani	41.917021014693	12.459163427353	41.916904456317,12.45890378952;41.917279678879,12.458860874176;41.917271695443,12.459365129471;41.91688848935,12.459579706192;41.916760753475,12.459107637405	_2017_04_11_07_28_29	{"streetNumber":"2","streetName":"Via Sabotino","postalCode":"00195","locality":"Roma","subLocality":null,"country":"IT"}
125	160	caetani	48.856614000000	2.352221900000		_2017_04_11_07_47_28	{"streetNumber":null,"streetName":null,"postalCode":"75004","locality":"Paris","subLocality":null,"country":"FR"}
126	132	caetani	51.501156087877	-0.141642093658	51.499953920988,-0.14204978942871;51.50128967426,-0.1442813873291;51.502839099008,-0.1413631439209;51.500541657251,-0.13887405395508	_2017_04_11_08_14_05	{"streetNumber":null,"streetName":"Spur Road","postalCode":"SW1A 1AA","locality":"London","subLocality":null,"country":"GB"}
128	165	caetani	41.940678600000	12.419148400000		_2017_04_11_08_42_53	{"streetNumber":"5","streetName":"Piazza di Santa Maria della Piet\\u00e0","postalCode":"00135","locality":"Roma","subLocality":null,"country":"IT"}
129	128	caetani	41.912773600000	12.447339600000		_2017_04_11_10_29_29	{"streetNumber":"52","streetName":"Piazzale Socrate","postalCode":"00136","locality":"Roma","subLocality":null,"country":"IT"}
130	166	caetani	41.932889360254	12.472309470176	41.934322037057,12.471842765808;41.931400813258,12.472379207611;41.931448703252,12.472765445709;41.934385887449,12.472250461578	_2017_04_11_10_34_59	{"streetNumber":null,"streetName":"Corso di Francia","postalCode":"00196","locality":"Roma","subLocality":null,"country":"IT"}
131	161	caetani	41.913750000000	12.458400000000		_2017_04_11_10_37_37	{"streetNumber":"22","streetName":"Viale Angelico","postalCode":"00195","locality":"Roma","subLocality":null,"country":"IT"}
132	163	caetani	41.696502100000	13.694211100000		_2017_04_11_20_56_28	{"streetNumber":"22","streetName":"Via San Venditto","postalCode":"03030","locality":null,"subLocality":null,"country":"IT"}
133	144	caetani	41.897666500000	12.460817600000		_2017_04_15_16_36_42	{"streetNumber":"7","streetName":"Via del Gianicolo","postalCode":"00165","locality":"Roma","subLocality":null,"country":"IT"}
134	153	caetani	41.890210200000	12.492230900000		_2017_04_16_11_18_15	{"streetNumber":"58","streetName":"Piazza del Colosseo","postalCode":"00184","locality":"Roma","subLocality":null,"country":"IT"}
135	136	caetani	40.923723525105	12.962901592255		_2017_04_16_11_32_15	{"streetNumber":null,"streetName":"Via Provinciale Le Forna","postalCode":"04020","locality":"Le Forna","subLocality":null,"country":"IT"}
